"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"789","RT @influentialhes: fionn !!!! deserves !!!!! more !!!!! praise !!!!!! he was SO good in dunkirk but hardly anyone has commended him in rev‚Ä¶",FALSE,0,NA,2017-07-24 10:34:47,FALSE,NA,"889433673124020224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niazkilamasf",623,TRUE,FALSE,NA,NA
"790","Dunkirk was doppppe!! I was holding my breath the whole timeeeeeee",FALSE,2,NA,2017-07-24 10:34:43,FALSE,NA,"889433656804089860",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kojlozada",0,FALSE,FALSE,NA,NA
"791","RT @rossR5: Dunkirk is, quite possibly, the most beautiful movie ive ever seen.",FALSE,0,NA,2017-07-24 10:34:42,FALSE,NA,"889433653981458432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aimeekane06",3367,TRUE,FALSE,NA,NA
"792","I still haven't watched Dunkirk yet because I'm waiting for my dad to come home Ì†ΩÌ∏≠Ì†ΩÌ∏≠",FALSE,0,NA,2017-07-24 10:34:40,FALSE,NA,"889433646666399744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lornbowler",0,FALSE,FALSE,NA,NA
"793","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:34:40,FALSE,NA,"889433646469451777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LenkaaXD",133764,TRUE,FALSE,NA,NA
"794","@ClarkeMicah Watched Dunkirk last night, illegally I'm afraid, will take too long for release in HK. Agree with PH , all noise no substance.",FALSE,0,"ClarkeMicah",2017-07-24 10:34:38,FALSE,"889409582942085121","889433636784791552","405605548","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glasskiassoc",0,FALSE,FALSE,NA,NA
"795","RT @amberroseannaa: @StylesMovieNews they have a trailer with a 5 minute preview in Rotterdam! They even handed out Dunkirk shirts! https:/‚Ä¶",FALSE,0,NA,2017-07-24 10:34:37,FALSE,NA,"889433631919407104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vanessa40866187",43,TRUE,FALSE,NA,NA
"796","#Dunkirk. Best thing I've seen...well, since #BabyDriver. Unconditional recommendation. Everyone. Go.",FALSE,0,NA,2017-07-24 10:34:36,FALSE,NA,"889433628727537665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaaiiit",0,FALSE,FALSE,NA,NA
"797","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:34:36,FALSE,NA,"889433626324160512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DISS5",2289,TRUE,FALSE,NA,NA
"798","https://t.co/4V5Gp0CMkU #Dunkirk #veteran in tears..",FALSE,0,NA,2017-07-24 10:34:33,FALSE,NA,"889433613682360320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TiwariProf",0,FALSE,FALSE,NA,NA
"799","RT @GameGriffin: Shout out to the man in the audience for Dunkirk who turned to his girlfriend + said ""Dunkirk"" when the word 'Dunkirk' cam‚Ä¶",FALSE,0,NA,2017-07-24 10:34:30,FALSE,NA,"889433602647142400",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","owrangle",555,TRUE,FALSE,NA,NA
"800","Dunkirk Movie is Racist and Sexist
Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç https://t.co/ntn6wuzNdB",FALSE,0,NA,2017-07-24 10:34:28,FALSE,NA,"889433595672231936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stryder200",0,FALSE,FALSE,NA,NA
"801","RT @sergiowrites: I refuse to read any #Dunkirk reviews this week. I'm going in there with a fresh set of eyes.",FALSE,0,NA,2017-07-24 10:34:28,FALSE,NA,"889433594460086272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KnightmareBeast",1,TRUE,FALSE,NA,NA
